Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Net Job Change,Percent Job Change,AI Impact Score,Career Stability Index,Median Salary Norm,High-Opportunity Career Score
"Production Assistant, Radio",Healthcare,Increasing,Low,59923.23,High School,1,8039,3829,55.19,48.57,China,78.99,-4210,-52.37,1,-26.93,0.25,0.02
Armed Forces Technical Officer,Retail,Increasing,Moderate,52060.54,Phd,13,8317,9078,84.29,29.58,India,53.79,761,9.15,2,6.44,0.18,0.3
Youth Worker,Retail,Decreasing,Moderate,110077.96,Master’S Degree,18,4286,8248,24.27,20.75,Usa,67.62,3962,92.44,2,73.26,0.67,0.81
Special Effects Artist,Education,Decreasing,Moderate,102393.43,Phd,0,348,5612,86.55,18.51,India,48.47,5264,1512.64,2,1232.65,0.6,6.48
Ceramics Designer,Transportation,Increasing,High,73318.63,Associate Degree,11,1473,8555,41.11,57.59,Brazil,32.69,7082,480.79,3,203.9,0.36,2.16
Animal Technologist,Transportation,Decreasing,Moderate,72953.11,Master’S Degree,3,1464,6938,54.24,1.9,Canada,44.82,5474,373.91,2,366.8,0.36,1.9
Firefighter,It,Increasing,Low,34082.78,High School,4,2163,6734,87.31,90.32,Canada,48.98,4571,211.33,1,20.46,0.03,0.88
Charity Fundraiser,Education,Increasing,High,41523.13,Bachelor’S Degree,2,7568,9624,23.23,63.1,India,38.94,2056,27.17,3,10.02,0.1,0.25
Housing Manager/Officer,Education,Decreasing,Moderate,92165.61,Phd,17,2582,5018,18.15,66.91,Usa,34.93,2436,94.35,2,31.22,0.52,0.63
Jewellery Designer,Retail,Increasing,High,62229.93,High School,15,3369,3297,87.85,21.83,Canada,43.89,-72,-2.14,3,-1.67,0.27,0.31
Ecologist,It,Decreasing,Moderate,106122.32,Associate Degree,17,5407,4631,43.99,4.91,India,42.53,-776,-14.35,2,-13.65,0.63,0.42
Operations Geologist,Entertainment,Increasing,High,142549.39,High School,5,7635,3586,8.59,70.67,Usa,26.25,-4049,-53.03,3,-15.55,0.94,0.16
Patent Attorney,Entertainment,Increasing,Low,76323.91,Associate Degree,18,1334,2198,12.72,21.4,China,32.51,864,64.77,1,50.91,0.39,0.61
Media Buyer,Transportation,Decreasing,Low,79665.42,Phd,20,1527,5198,76.29,41.06,China,69.95,3671,240.41,1,141.7,0.41,1.26
Town Planner,Entertainment,Increasing,Moderate,41105.21,Master’S Degree,14,8467,4447,36.16,67.4,China,26.15,-4020,-47.48,2,-15.48,0.09,-0.06
Tour Manager,Finance,Increasing,High,121435.0,Associate Degree,5,6840,6963,1.36,93.49,Uk,26.05,123,1.8,3,0.12,0.76,0.26
Higher Education Careers Adviser,Finance,Increasing,Low,124663.97,Master’S Degree,9,7445,9354,53.86,35.94,Uk,75.44,1909,25.64,1,16.43,0.79,0.53
Fitness Centre Manager,Transportation,Increasing,Moderate,41067.95,Bachelor’S Degree,20,3104,7299,98.89,59.01,Uk,69.5,4195,135.15,2,55.4,0.09,0.69
Immunologist,It,Decreasing,Low,148115.7,Phd,2,7341,8522,33.47,71.87,India,20.75,1181,16.09,1,4.53,0.98,0.44
Contracting Civil Engineer,Finance,Increasing,High,38486.99,Phd,12,9860,1304,17.25,72.21,Canada,55.07,-8556,-86.77,3,-24.11,0.07,-0.24
Surgeon,Healthcare,Increasing,High,35799.45,Phd,2,6281,447,55.15,87.52,Brazil,37.04,-5834,-92.88,3,-11.59,0.05,-0.32
Environmental Consultant,Transportation,Decreasing,Low,54495.6,Associate Degree,20,1830,3231,11.48,48.54,India,39.11,1401,76.56,1,39.4,0.2,0.52
"Engineer, Electrical",Manufacturing,Increasing,Low,65875.53,Phd,3,7659,7989,31.94,31.73,Brazil,58.24,330,4.31,1,2.94,0.3,0.31
"Surveyor, Commercial/Residential",It,Decreasing,Low,60038.64,Bachelor’S Degree,0,3922,327,52.4,88.22,India,26.59,-3595,-91.66,1,-10.8,0.25,-0.26
Customer Service Manager,Finance,Increasing,Low,50955.44,Bachelor’S Degree,20,2523,2066,74.75,76.44,Australia,79.71,-457,-18.11,1,-4.27,0.17,0.05
Microbiologist,Entertainment,Decreasing,Moderate,113064.81,Bachelor’S Degree,6,5766,1439,77.68,47.32,Germany,30.38,-4327,-75.04,2,-39.53,0.69,0.07
Secretary/Administrator,Retail,Increasing,Low,97806.7,Master’S Degree,4,1437,272,24.61,60.71,Usa,28.52,-1165,-81.07,1,-31.85,0.57,-0.04
Armed Forces Operational Officer,Finance,Increasing,Moderate,102858.12,High School,20,2105,7045,42.29,10.19,Usa,20.25,4940,234.68,2,210.77,0.61,1.39
"Therapist, Horticultural",Healthcare,Decreasing,Moderate,82449.59,Phd,11,8459,4383,19.56,46.59,Australia,30.99,-4076,-48.19,2,-25.74,0.44,0.1
Architect,Healthcare,Increasing,Low,147313.07,Bachelor’S Degree,16,7292,2487,0.79,61.68,Germany,26.25,-4805,-65.89,1,-25.25,0.98,0.14
"Engineer, Structural",Education,Increasing,High,77792.33,Bachelor’S Degree,7,7836,6700,71.9,36.73,Australia,63.61,-1136,-14.5,3,-9.17,0.4,0.25
Trade Union Research Officer,It,Decreasing,High,82029.69,Master’S Degree,8,3144,3121,55.22,98.23,Brazil,60.82,-23,-0.73,3,-0.01,0.43,0.13
Radio Producer,Finance,Increasing,Moderate,105560.54,Master’S Degree,20,7406,3389,68.35,19.84,Brazil,48.26,-4017,-54.24,2,-43.48,0.63,0.21
Primary School Teacher,Manufacturing,Decreasing,High,137071.8,High School,0,1171,8644,74.87,52.54,India,60.76,7473,638.17,3,302.88,0.89,2.96
Site Engineer,Finance,Increasing,Moderate,50632.02,Master’S Degree,1,1868,6591,85.62,30.27,Australia,26.77,4723,252.84,2,176.3,0.17,1.27
Tour Manager,Retail,Decreasing,Low,80521.07,Bachelor’S Degree,6,3142,507,79.18,8.83,Usa,74.74,-2635,-83.86,1,-76.46,0.42,0.06
Electrical Engineer,Manufacturing,Increasing,Moderate,88804.87,Bachelor’S Degree,2,5614,3475,66.17,5.43,Germany,53.48,-2139,-38.1,2,-36.03,0.49,0.28
Armed Forces Logistics/Support/Administrative Officer,Retail,Decreasing,Low,113965.96,Associate Degree,11,2103,3229,38.63,48.58,Germany,53.01,1126,53.54,1,27.53,0.7,0.58
"Programmer, Systems",Finance,Increasing,Low,131852.51,High School,9,1876,5623,20.29,7.3,Uk,22.67,3747,199.73,1,185.15,0.85,1.33
Archivist,Finance,Decreasing,High,33072.25,Master’S Degree,7,2569,1514,83.28,83.87,Germany,52.41,-1055,-41.07,3,-6.62,0.03,-0.11
Tourist Information Centre Manager,Retail,Increasing,High,46195.73,Associate Degree,8,7005,8436,8.68,89.63,Brazil,77.46,1431,20.43,3,2.12,0.13,0.15
Occupational Therapist,Manufacturing,Increasing,Moderate,82210.61,Phd,20,7442,8558,47.66,20.84,Brazil,57.67,1116,15.0,2,11.87,0.44,0.43
General Practice Doctor,Transportation,Increasing,High,94118.58,Phd,0,4069,5391,99.88,21.59,Usa,37.47,1322,32.49,3,25.48,0.53,0.53
Air Cabin Crew,Retail,Decreasing,Low,96498.83,Master’S Degree,10,815,1655,50.9,46.38,Usa,74.62,840,103.07,1,55.26,0.55,0.74
"Therapist, Art",Retail,Decreasing,Moderate,74424.16,Phd,5,622,2406,47.96,53.24,Usa,53.94,1784,286.82,2,134.12,0.37,1.4
"Lighting Technician, Broadcasting/Film/Video",Education,Decreasing,High,76301.45,Bachelor’S Degree,5,9510,9086,86.47,57.29,China,43.21,-424,-4.46,3,-1.9,0.39,0.23
Herbalist,Manufacturing,Increasing,High,106276.67,Master’S Degree,11,813,2546,95.92,50.01,India,64.31,1733,213.16,3,106.56,0.64,1.19
Technical Brewer,Education,Decreasing,Moderate,114843.48,Phd,12,9965,2903,91.98,43.49,Brazil,46.01,-7062,-70.87,2,-40.05,0.71,0.1
Water Engineer,Entertainment,Decreasing,Moderate,33122.25,Bachelor’S Degree,4,187,8383,21.9,8.62,Usa,28.55,8196,4382.89,2,4005.08,0.03,17.81
Animal Technologist,Finance,Decreasing,Moderate,112646.79,Associate Degree,7,2976,8835,34.51,94.79,Usa,27.37,5859,196.88,2,10.26,0.69,1.01
Clothing/Textile Technologist,Finance,Decreasing,Moderate,128177.18,Master’S Degree,12,7678,5185,22.6,54.03,Brazil,33.84,-2493,-32.47,2,-14.93,0.82,0.25
Site Engineer,Education,Decreasing,High,87311.09,Master’S Degree,17,4517,3138,15.96,86.18,Australia,51.11,-1379,-30.53,3,-4.22,0.48,0.06
Cabin Crew,Retail,Decreasing,High,93530.19,Associate Degree,15,4742,4747,92.46,19.9,Uk,53.04,5,0.11,3,0.08,0.53,0.4
Estate Manager/Land Agent,Retail,Increasing,Moderate,41380.56,Phd,5,701,3748,72.19,22.63,Germany,47.46,3047,434.66,2,336.3,0.09,2.0
Database Administrator,Entertainment,Decreasing,High,61072.12,Bachelor’S Degree,17,5028,7954,13.43,23.69,Brazil,59.66,2926,58.19,3,44.41,0.26,0.54
"Teacher, Music",Manufacturing,Decreasing,High,147474.55,Phd,17,3722,8025,95.69,54.06,Canada,66.61,4303,115.61,3,53.11,0.98,0.89
Clinical Embryologist,It,Increasing,Moderate,99763.19,Associate Degree,16,6683,3285,74.98,71.29,Australia,37.61,-3398,-50.85,2,-14.6,0.58,0.06
Photographer,Retail,Increasing,Moderate,39219.27,Bachelor’S Degree,19,3161,1466,89.91,91.28,Brazil,43.23,-1695,-53.62,2,-4.68,0.08,-0.17
Consulting Civil Engineer,Transportation,Increasing,Low,47345.9,High School,15,5603,6775,71.4,85.49,China,76.68,1172,20.92,1,3.04,0.14,0.17
"Designer, Multimedia",Finance,Increasing,Low,36480.96,Phd,1,3400,2048,42.57,23.04,China,62.43,-1352,-39.76,1,-30.6,0.05,0.09
Architectural Technologist,Education,Increasing,High,112692.04,High School,16,2870,9159,51.62,50.77,China,20.36,6289,219.13,3,107.88,0.69,1.23
Acupuncturist,Retail,Decreasing,Low,53447.29,Bachelor’S Degree,17,7125,470,85.94,78.62,Brazil,67.13,-6655,-93.4,1,-19.97,0.2,-0.25
"Engineer, Technical Sales",Manufacturing,Increasing,Low,66531.98,Bachelor’S Degree,20,6137,8584,80.82,20.06,China,60.05,2447,39.87,1,31.87,0.3,0.49
"Engineer, Mining",Healthcare,Decreasing,Low,115731.01,Phd,12,6625,5265,96.13,78.58,China,22.78,-1360,-20.53,1,-4.4,0.71,0.2
"Investment Banker, Operational",Education,Increasing,High,48522.58,Phd,2,3494,1524,89.76,88.44,Uk,40.62,-1970,-56.38,3,-6.52,0.15,-0.14
Manufacturing Engineer,Transportation,Decreasing,Low,95483.65,High School,4,5842,2181,54.32,65.13,Germany,40.78,-3661,-62.67,1,-21.85,0.55,0.02
"Librarian, Public",Education,Increasing,High,145028.73,High School,4,7767,669,48.68,94.53,Germany,60.52,-7098,-91.39,3,-5.0,0.96,-0.06
Air Broker,Transportation,Decreasing,Moderate,134199.76,Bachelor’S Degree,9,5919,7865,6.29,73.96,India,37.44,1946,32.88,2,8.56,0.87,0.47
Counselling Psychologist,Finance,Increasing,Low,129086.95,Associate Degree,10,8436,7321,86.99,92.97,Australia,27.0,-1115,-13.22,1,-0.93,0.83,0.22
Microbiologist,Finance,Increasing,High,49354.81,High School,13,7779,2602,15.01,5.23,Brazil,47.94,-5177,-66.55,3,-63.07,0.16,0.07
Quarry Manager,Entertainment,Decreasing,High,78151.66,Phd,12,1542,224,93.08,38.05,China,27.12,-1318,-85.47,3,-52.95,0.4,-0.04
Speech And Language Therapist,Finance,Decreasing,Low,142772.8,Associate Degree,6,8551,7427,1.56,14.37,Uk,73.21,-1124,-13.14,1,-11.26,0.94,0.49
Ranger/Warden,Retail,Increasing,Moderate,77414.15,Associate Degree,16,1135,1815,28.29,30.13,Brazil,22.82,680,59.91,2,41.86,0.4,0.57
Animal Nutritionist,Retail,Decreasing,Low,132109.73,Phd,9,1393,5492,44.12,82.2,China,64.51,4099,294.26,1,52.38,0.85,1.49
Ecologist,Education,Increasing,Low,101582.62,Master’S Degree,17,2010,4265,76.32,33.41,Usa,34.36,2255,112.19,1,74.71,0.6,0.83
"Engineer, Civil (Contracting)",Finance,Increasing,High,126030.56,High School,16,6398,9686,10.28,45.75,India,67.3,3288,51.39,3,27.88,0.8,0.61
Hospital Pharmacist,It,Increasing,Low,63660.78,High School,8,6427,2431,35.98,45.38,Germany,64.92,-3996,-62.18,1,-33.96,0.28,-0.0
Police Officer,Healthcare,Increasing,Low,73217.2,Bachelor’S Degree,14,1024,4511,36.72,75.12,Usa,79.33,3487,340.53,1,84.72,0.36,1.54
Research Scientist (Maths),Healthcare,Increasing,Moderate,94919.8,Bachelor’S Degree,12,1339,8007,18.1,67.66,India,31.77,6668,497.98,2,161.05,0.54,2.25
"Lighting Technician, Broadcasting/Film/Video",Education,Decreasing,High,108805.77,High School,3,6086,1278,13.71,94.72,India,23.89,-4808,-79.0,3,-4.17,0.66,-0.1
Radiation Protection Practitioner,Education,Decreasing,Moderate,56786.75,Bachelor’S Degree,2,6513,5031,84.53,97.18,Brazil,61.5,-1482,-22.75,2,-0.64,0.22,-0.02
Database Administrator,Healthcare,Decreasing,Moderate,132524.15,High School,7,9910,1918,96.0,71.28,Australia,29.85,-7992,-80.65,2,-23.16,0.85,0.02
Advice Worker,Entertainment,Increasing,Moderate,143518.25,Bachelor’S Degree,3,4866,2662,30.27,46.55,Canada,53.4,-2204,-45.29,2,-24.21,0.95,0.26
Meteorologist,Finance,Increasing,Low,59422.0,Associate Degree,19,4293,8258,62.32,66.46,China,70.41,3965,92.36,1,30.98,0.25,0.54
Aeronautical Engineer,Entertainment,Decreasing,Moderate,47620.87,Associate Degree,12,9748,5026,96.93,42.37,China,51.55,-4722,-48.44,2,-27.92,0.15,0.02
"Administrator, Local Government",Education,Increasing,Moderate,108313.35,Phd,11,3020,7776,72.28,52.13,China,47.94,4756,157.48,2,75.39,0.65,0.97
Museum/Gallery Conservator,It,Decreasing,High,115733.83,Master’S Degree,8,245,1348,82.8,82.18,Usa,51.48,1103,450.2,3,80.23,0.71,2.07
Technical Author,Transportation,Increasing,Low,74976.7,Phd,9,6805,8708,54.31,48.3,Germany,59.53,1903,27.96,1,14.46,0.37,0.38
Multimedia Specialist,It,Increasing,Moderate,45128.7,Phd,17,3983,4328,28.97,59.57,Germany,62.93,345,8.66,2,3.5,0.13,0.19
Counsellor,Retail,Increasing,High,86685.95,High School,3,2123,8756,6.46,98.3,China,21.56,6633,312.44,3,5.31,0.47,1.4
"Engineer, Maintenance (It)",Entertainment,Decreasing,Low,65110.03,Associate Degree,20,9241,7360,97.91,61.47,Germany,32.58,-1881,-20.35,1,-7.84,0.29,0.12
Fish Farm Manager,Healthcare,Decreasing,Moderate,95591.96,Bachelor’S Degree,19,5099,3767,3.67,29.38,Uk,66.3,-1332,-26.12,2,-18.45,0.55,0.27
Ambulance Person,Entertainment,Increasing,Low,115218.06,Master’S Degree,11,5664,726,79.7,14.22,Germany,54.18,-4938,-87.18,1,-74.78,0.71,0.12
Multimedia Programmer,Manufacturing,Decreasing,High,91153.53,Bachelor’S Degree,17,5543,7847,42.83,97.81,China,45.09,2304,41.57,3,0.91,0.51,0.33
Higher Education Lecturer,Manufacturing,Increasing,Moderate,39821.63,Master’S Degree,9,8656,1839,18.11,68.75,Australia,48.13,-6817,-78.75,2,-24.61,0.08,-0.2
Quantity Surveyor,Manufacturing,Increasing,High,95652.17,Master’S Degree,18,2147,200,91.86,39.85,China,79.28,-1947,-90.68,3,-54.55,0.55,-0.02
"Surveyor, Commercial/Residential",It,Increasing,Low,74928.04,Bachelor’S Degree,8,6224,4765,97.13,51.86,Usa,67.83,-1459,-23.44,1,-11.28,0.37,0.16
Database Administrator,Finance,Decreasing,High,30082.02,Bachelor’S Degree,18,5061,2666,95.49,53.61,Brazil,36.82,-2395,-47.32,3,-21.95,0.0,-0.05
Senior Tax Professional/Tax Inspector,Healthcare,Decreasing,High,68534.6,Associate Degree,0,2239,2287,16.95,11.31,Uk,35.16,48,2.14,3,1.9,0.32,0.37
Interpreter,Education,Increasing,Moderate,100364.95,High School,9,3614,7433,83.06,9.25,Uk,57.36,3819,105.67,2,95.9,0.59,0.87
Animator,Finance,Increasing,Low,56683.32,Master’S Degree,7,9468,1197,73.55,12.79,Uk,33.48,-8271,-87.36,1,-76.18,0.22,-0.02
"Exhibitions Officer, Museum/Gallery",Entertainment,Increasing,Moderate,40113.86,Phd,1,5842,4041,99.69,29.24,India,43.07,-1801,-30.83,2,-21.81,0.08,0.11
Museum/Gallery Exhibitions Officer,Finance,Decreasing,High,122712.77,Phd,13,7452,533,38.31,12.64,Germany,57.39,-6919,-92.85,3,-81.11,0.77,0.12
Press Sub,Manufacturing,Increasing,Low,138559.19,Phd,2,1865,7124,8.34,6.68,Germany,78.01,5259,281.98,1,263.15,0.9,1.68
Automotive Engineer,Healthcare,Increasing,Low,111482.46,Bachelor’S Degree,3,7139,2848,72.38,85.15,China,61.77,-4291,-60.11,1,-8.93,0.68,0.01
Counselling Psychologist,Transportation,Decreasing,Low,62522.17,High School,9,426,2184,0.43,1.31,Uk,53.4,1758,412.68,1,407.27,0.27,2.03
Contractor,Education,Decreasing,Low,44542.32,Associate Degree,12,3008,5292,93.08,56.09,Germany,55.49,2284,75.93,1,33.34,0.12,0.47
Animal Nutritionist,Education,Increasing,Low,115671.06,High School,18,5068,1631,49.36,73.57,Canada,33.37,-3437,-67.82,1,-17.92,0.71,0.02
Youth Worker,Manufacturing,Increasing,Moderate,43802.25,Associate Degree,15,8052,7954,65.03,86.35,India,24.81,-98,-1.22,2,-0.17,0.12,0.07
"Scientist, Research (Maths)",Healthcare,Decreasing,High,132375.17,Bachelor’S Degree,11,847,9885,81.56,1.97,Usa,79.69,9038,1067.06,3,1046.04,0.85,4.82
Horticultural Consultant,Finance,Increasing,High,137288.73,Phd,10,7120,7702,9.61,26.54,China,35.75,582,8.17,3,6.0,0.89,0.52
Music Therapist,Finance,Increasing,Moderate,31798.64,High School,9,7886,3875,77.57,16.72,Usa,71.87,-4011,-50.86,2,-42.36,0.01,0.05
Careers Adviser,Entertainment,Decreasing,Low,95635.67,Bachelor’S Degree,0,6192,575,8.04,11.56,Australia,68.89,-5617,-90.71,1,-80.23,0.55,0.07
Paediatric Nurse,Manufacturing,Increasing,Low,103114.26,Associate Degree,6,4262,7171,27.99,72.44,Germany,64.8,2909,68.25,1,18.81,0.61,0.54
Research Scientist (Physical Sciences),Finance,Decreasing,High,129182.71,Phd,11,9680,9221,56.75,46.68,Usa,54.16,-459,-4.74,3,-2.53,0.83,0.39
"Programmer, Applications",Education,Increasing,Low,124163.37,Phd,10,6069,2051,92.95,26.41,Uk,64.49,-4018,-66.21,1,-48.72,0.78,0.19
Child Psychotherapist,It,Decreasing,High,86255.49,Bachelor’S Degree,19,6848,6126,78.17,6.46,China,21.4,-722,-10.54,3,-9.86,0.47,0.38
Early Years Teacher,Healthcare,Decreasing,Low,98270.84,Associate Degree,14,2100,4815,78.0,3.09,Usa,35.38,2715,129.29,1,125.29,0.57,0.98
Armed Forces Technical Officer,Entertainment,Increasing,High,125777.17,Master’S Degree,11,8080,8549,88.61,18.83,Canada,41.76,469,5.8,3,4.71,0.8,0.51
Electrical Engineer,It,Increasing,High,96517.87,Associate Degree,9,2440,4924,50.73,76.44,Usa,71.39,2484,101.8,3,23.98,0.55,0.64
Statistician,Education,Decreasing,Moderate,66108.46,Master’S Degree,19,5190,9121,78.7,11.59,Germany,79.76,3931,75.74,2,66.96,0.3,0.66
Ambulance Person,Manufacturing,Decreasing,Moderate,42123.55,Phd,11,3375,9427,81.03,27.86,Usa,34.02,6052,179.32,2,129.36,0.1,0.96
Advertising Account Executive,Retail,Increasing,Moderate,79247.56,Bachelor’S Degree,18,148,4850,97.16,63.98,Usa,52.83,4702,3177.03,2,1144.37,0.41,12.94
Electronics Engineer,Finance,Decreasing,High,135527.8,Master’S Degree,13,1496,6566,48.89,91.28,Canada,20.47,5070,338.9,3,29.55,0.88,1.65
Advertising Account Planner,Healthcare,Increasing,Low,103605.72,Phd,19,8653,9418,82.02,16.14,Brazil,73.22,765,8.84,1,7.41,0.61,0.47
Ergonomist,It,Decreasing,High,125240.22,Bachelor’S Degree,20,3266,7064,90.05,75.5,Germany,64.37,3798,116.29,3,28.49,0.79,0.78
Community Arts Worker,Education,Decreasing,Low,84259.31,Bachelor’S Degree,18,4979,5010,81.84,82.85,Germany,51.08,31,0.62,1,0.11,0.45,0.19
Accounting Technician,Manufacturing,Increasing,Moderate,143698.64,High School,19,7183,880,26.95,62.03,Brazil,69.01,-6303,-87.75,2,-33.32,0.95,0.05
Magazine Features Editor,Finance,Decreasing,Moderate,137199.79,Master’S Degree,10,2277,424,5.01,60.0,Uk,34.43,-1853,-81.38,2,-32.55,0.89,0.06
"Engineer, Building Services",Education,Decreasing,High,66477.58,Associate Degree,11,9791,2123,54.69,50.28,Usa,20.69,-7668,-78.32,3,-38.94,0.3,-0.07
"Administrator, Local Government",Entertainment,Decreasing,High,89399.03,High School,17,6622,6520,85.77,30.99,Canada,54.39,-102,-1.54,3,-1.06,0.49,0.35
Bookseller,Entertainment,Increasing,Moderate,89906.41,Bachelor’S Degree,11,3007,8110,82.73,52.83,India,50.56,5103,169.7,2,80.05,0.5,0.97
Cabin Crew,Transportation,Increasing,Low,101774.94,Master’S Degree,18,4674,3718,91.55,62.82,Uk,62.46,-956,-20.45,1,-7.6,0.6,0.21
Cartographer,Healthcare,Increasing,High,131835.84,Phd,16,6314,3279,65.18,86.96,Uk,42.78,-3035,-48.07,3,-6.27,0.85,0.1
Pensions Consultant,It,Increasing,Moderate,72306.22,Phd,4,1169,9952,93.25,52.89,Usa,45.55,8783,751.33,2,353.95,0.35,3.25
"Biochemist, Clinical",Healthcare,Increasing,Low,144453.63,Master’S Degree,17,2732,8497,78.88,58.41,Germany,34.24,5765,211.02,1,87.76,0.95,1.25
"Designer, Ceramics/Pottery",It,Increasing,Moderate,90734.3,High School,20,9306,2830,65.81,29.91,Brazil,52.0,-6476,-69.59,2,-48.78,0.51,0.08
Dramatherapist,Entertainment,Increasing,Moderate,102041.25,Associate Degree,4,7973,2664,21.48,97.04,Usa,67.23,-5309,-66.59,2,-1.97,0.6,-0.08
Herbalist,Transportation,Increasing,Moderate,32631.51,High School,7,918,374,5.79,55.59,Uk,39.75,-544,-59.26,2,-26.32,0.02,-0.1
Water Engineer,Finance,Decreasing,Moderate,110089.08,Bachelor’S Degree,16,7984,4961,89.47,8.02,Australia,37.78,-3023,-37.86,2,-34.83,0.67,0.32
Training And Development Officer,Finance,Decreasing,High,31374.53,Phd,5,2519,1191,42.86,78.34,China,62.35,-1328,-52.72,3,-11.42,0.01,-0.14
Museum Education Officer,Education,Decreasing,High,106745.24,Master’S Degree,19,5590,5737,95.49,44.25,China,74.34,147,2.63,3,1.47,0.64,0.37
"Therapist, Music",Entertainment,Increasing,High,118420.93,Master’S Degree,3,3071,6973,70.01,82.6,Canada,22.32,3902,127.06,3,22.11,0.74,0.78
Materials Engineer,Healthcare,Decreasing,Moderate,148555.76,Bachelor’S Degree,3,5613,3240,93.38,19.31,Australia,41.79,-2373,-42.28,2,-34.11,0.99,0.37
Clinical Biochemist,Manufacturing,Decreasing,Low,42568.43,Bachelor’S Degree,20,659,5208,33.03,25.62,Canada,61.79,4549,690.29,1,513.44,0.1,3.02
